#session	animalID	day	Detector
AbrolhosRedondaRound01Nov19	659	2	4
AbrolhosRedondaRound01Nov19	659	3	5
AbrolhosRedondaRound01Nov19	659	4	5
AbrolhosRedondaRound01Nov19	660	1	18
AbrolhosRedondaRound01Nov19	660	2	24
AbrolhosRedondaRound01Nov19	661	1	14
AbrolhosRedondaRound01Nov19	661	2	13
AbrolhosRedondaRound01Nov19	661	3	14
AbrolhosRedondaRound01Nov19	661	4	18
AbrolhosRedondaRound01Nov19	662	4	1
AbrolhosRedondaRound01Nov19	663	1	15
AbrolhosRedondaRound01Nov19	663	2	9
AbrolhosRedondaRound01Nov19	663	3	2
AbrolhosRedondaRound01Nov19	663	5	15
AbrolhosRedondaRound01Nov19	664	2	21
AbrolhosRedondaRound01Nov19	664	4	16
AbrolhosRedondaRound01Nov19	665	1	11
AbrolhosRedondaRound01Nov19	665	4	11
AbrolhosRedondaRound01Nov19	666	1	7
AbrolhosRedondaRound01Nov19	667	2	10
AbrolhosRedondaRound01Nov19	668	3	7
AbrolhosRedondaRound01Nov19	668	4	8
AbrolhosRedondaRound01Nov19	669	3	25
AbrolhosRedondaRound01Nov19	670	1	25
AbrolhosRedondaRound01Nov19	670	4	25
AbrolhosRedondaRound01Nov19	670	5	13
AbrolhosRedondaRound01Nov19	671	3	6
AbrolhosRedondaRound01Nov19	671	4	6
AbrolhosRedondaRound01Nov19	672	2	6
AbrolhosRedondaRound01Nov19	674	2	1
AbrolhosRedondaRound01Nov19	675	1	21
AbrolhosRedondaRound01Nov19	675	2	22
AbrolhosRedondaRound01Nov19	679	2	22
AbrolhosRedondaRound01Nov19	675	4	21
AbrolhosRedondaRound01Nov19	676	3	1
AbrolhosRedondaRound01Nov19	677	3	8
AbrolhosRedondaRound01Nov19	678	1	20
AbrolhosRedondaRound01Nov19	680	1	4
AbrolhosRedondaRound01Nov19	680	2	14
AbrolhosRedondaRound01Nov19	680	3	9
AbrolhosRedondaRound01Nov19	680	4	3
AbrolhosRedondaRound01Nov19	682	1	17
AbrolhosRedondaRound01Nov19	682	3	23
AbrolhosRedondaRound01Nov19	683	1	23
AbrolhosRedondaRound01Nov19	685	1	2
AbrolhosRedondaRound01Nov19	685	2	8
AbrolhosRedondaRound01Nov19	685	4	2
AbrolhosRedondaRound01Nov19	686	1	10
AbrolhosRedondaRound01Nov19	686	2	3
AbrolhosRedondaRound01Nov19	686	3	4
AbrolhosRedondaRound01Nov19	687	2	17
AbrolhosRedondaRound01Nov19	687	3	17
AbrolhosRedondaRound01Nov19	687	4	17
AbrolhosRedondaRound01Nov19	688	2	5
AbrolhosRedondaRound01Nov19	688	4	10
AbrolhosRedondaRound01Nov19	689	1	13
AbrolhosRedondaRound01Nov19	689	2	20
AbrolhosRedondaRound01Nov19	690	1	12
AbrolhosRedondaRound01Nov19	690	2	12
AbrolhosRedondaRound01Nov19	690	5	12
AbrolhosRedondaRound01Nov19	691	2	11
AbrolhosRedondaRound01Nov19	693	3	19
AbrolhosRedondaRound01Nov19	693	5	19
AbrolhosRedondaRound01Nov19	694	4	23
AbrolhosRedondaRound01Nov19	695	1	3
AbrolhosRedondaRound01Nov19	695	3	3
AbrolhosRedondaRound01Nov19	696	1	5
AbrolhosRedondaRound01Nov19	697	3	22
AbrolhosRedondaRound01Nov19	698	1	6
AbrolhosRedondaRound01Nov19	699	2	7
AbrolhosRedondaRound01Nov19	676	2	7
AbrolhosRedondaRound01Nov19	700	1	16
AbrolhosRedondaRound01Nov19	700	2	16
AbrolhosRedondaRound01Nov19	700	3	16
