#session	animalID	day	Detector
AbrolhosStaBárbara2CAPINZALRound01Fev20	615	3	21
AbrolhosStaBárbara2CAPINZALRound01Fev20	615	5	21
AbrolhosStaBárbara2CAPINZALRound01Fev20	673	1	2
AbrolhosStaBárbara2CAPINZALRound01Fev20	673	3	2
AbrolhosStaBárbara2CAPINZALRound01Fev20	782	3	2
AbrolhosStaBárbara2CAPINZALRound01Fev20	673	4	8
AbrolhosStaBárbara2CAPINZALRound01Fev20	692	1	10
AbrolhosStaBárbara2CAPINZALRound01Fev20	692	2	10
AbrolhosStaBárbara2CAPINZALRound01Fev20	692	3	10
AbrolhosStaBárbara2CAPINZALRound01Fev20	692	4	14
AbrolhosStaBárbara2CAPINZALRound01Fev20	762	1	14
AbrolhosStaBárbara2CAPINZALRound01Fev20	762	2	14
AbrolhosStaBárbara2CAPINZALRound01Fev20	762	3	9
AbrolhosStaBárbara2CAPINZALRound01Fev20	763	5	12
AbrolhosStaBárbara2CAPINZALRound01Fev20	764	1	3
AbrolhosStaBárbara2CAPINZALRound01Fev20	764	3	3
AbrolhosStaBárbara2CAPINZALRound01Fev20	764	4	3
AbrolhosStaBárbara2CAPINZALRound01Fev20	764	5	4
AbrolhosStaBárbara2CAPINZALRound01Fev20	765	1	15
AbrolhosStaBárbara2CAPINZALRound01Fev20	765	3	14
AbrolhosStaBárbara2CAPINZALRound01Fev20	765	4	10
AbrolhosStaBárbara2CAPINZALRound01Fev20	766	4	4
AbrolhosStaBárbara2CAPINZALRound01Fev20	766	5	5
AbrolhosStaBárbara2CAPINZALRound01Fev20	767	3	4
AbrolhosStaBárbara2CAPINZALRound01Fev20	767	4	24
AbrolhosStaBárbara2CAPINZALRound01Fev20	767	5	10
AbrolhosStaBárbara2CAPINZALRound01Fev20	768	1	20
AbrolhosStaBárbara2CAPINZALRound01Fev20	768	2	19
AbrolhosStaBárbara2CAPINZALRound01Fev20	768	3	8
AbrolhosStaBárbara2CAPINZALRound01Fev20	769	3	1
AbrolhosStaBárbara2CAPINZALRound01Fev20	770	2	21
AbrolhosStaBárbara2CAPINZALRound01Fev20	771	1	8
AbrolhosStaBárbara2CAPINZALRound01Fev20	771	2	12
AbrolhosStaBárbara2CAPINZALRound01Fev20	771	2	13
AbrolhosStaBárbara2CAPINZALRound01Fev20	771	3	20
AbrolhosStaBárbara2CAPINZALRound01Fev20	771	4	20
AbrolhosStaBárbara2CAPINZALRound01Fev20	772	1	5
AbrolhosStaBárbara2CAPINZALRound01Fev20	774	2	6
AbrolhosStaBárbara2CAPINZALRound01Fev20	774	3	7
AbrolhosStaBárbara2CAPINZALRound01Fev20	774	4	1
AbrolhosStaBárbara2CAPINZALRound01Fev20	774	5	7
AbrolhosStaBárbara2CAPINZALRound01Fev20	775	1	7
AbrolhosStaBárbara2CAPINZALRound01Fev20	775	3	23
AbrolhosStaBárbara2CAPINZALRound01Fev20	775	5	17
AbrolhosStaBárbara2CAPINZALRound01Fev20	781	1	12
AbrolhosStaBárbara2CAPINZALRound01Fev20	781	2	18
AbrolhosStaBárbara2CAPINZALRound01Fev20	781	3	17
AbrolhosStaBárbara2CAPINZALRound01Fev20	781	5	18
AbrolhosStaBárbara2CAPINZALRound01Fev20	782	1	13
AbrolhosStaBárbara2CAPINZALRound01Fev20	783	2	24
AbrolhosStaBárbara2CAPINZALRound01Fev20	783	4	25
AbrolhosStaBárbara2CAPINZALRound01Fev20	784	1	22
AbrolhosStaBárbara2CAPINZALRound01Fev20	784	3	16
AbrolhosStaBárbara2CAPINZALRound01Fev20	786	2	25
AbrolhosStaBárbara2CAPINZALRound01Fev20	786	3	15
AbrolhosStaBárbara2CAPINZALRound01Fev20	786	5	20
AbrolhosStaBárbara2CAPINZALRound01Fev20	787	4	2
AbrolhosStaBárbara2CAPINZALRound01Fev20	788	3	11
AbrolhosStaBárbara2CAPINZALRound01Fev20	789	4	21
AbrolhosStaBárbara2CAPINZALRound01Fev20	790	3	22
AbrolhosStaBárbara2CAPINZALRound01Fev20	790	5	23
AbrolhosStaBárbara2CAPINZALRound01Fev20	791	4	16
AbrolhosStaBárbara2CAPINZALRound01Fev20	793	5	1
AbrolhosStaBárbara2CAPINZALRound01Fev20	795	5	25
AbrolhosStaBárbara2CAPINZALRound01Fev20	782	5	9
AbrolhosStaBárbara2CAPINZALRound01Fev20	762	5	9
AbrolhosStaBárbara2CAPINZALRound01Fev20	785	2	2
AbrolhosStaBárbara2CAPINZALRound01Fev20	764	2	2
